iter	Passed	Remaining
0	7	7639
1	19	9695
2	29	9920
3	39	9861
4	49	9787
5	59	9847
6	66	9428
7	75	9309
8	82	9078
9	92	9115
10	100	9058
11	109	8999
12	118	8977
13	128	9014
14	137	9030
15	141	8676
16	150	8698
17	160	8746
18	170	8785
19	181	8890
20	192	8994
21	202	8981
22	211	9000
23	222	9049
24	229	8957
25	237	8887
26	247	8916
27	256	8908
28	268	8991
29	280	9057
30	291	9119
31	296	8962
32	300	8812
33	311	8841
34	321	8853
35	330	8838
36	339	8824
37	348	8812
38	354	8732
39	356	8560
40	365	8543
41	376	8597
42	385	8585
43	394	8573
44	403	8570
45	413	8565
46	422	8572
47	432	8572
48	440	8556
49	445	8462
50	454	8458
51	465	8478
52	473	8457
